CompanyCode,Plant,Material,Quantity,Amount,Currency,DocumentType,PostingDate,CostCenter,ProfitCenter,GLAccount,Vendor,Customer,FiscalYear,FiscalPeriod,DocumentNumber
COMP_B,PLANT_1,MAT_00008,47.43,1740.83,EUR,PO,2025-01-11,CC_1010,PC_106,G/L_40056,VEND_10022,,2025,1,DOC_30372613
COMP_B,PLANT_3,MAT_00092,756.94,3604.85,EUR,PO,2025-05-09,CC_1010,PC_105,G/L_40041,VEND_10071,,2025,5,DOC_62638020
COMP_B,PLANT_3,MAT_00019,749.8,7780.24,EUR,GI,2024-07-20,CC_1008,PC_101,G/L_40009,,CUST_50049,2024,7,DOC_38107124
COMP_A,PLANT_3,MAT_00083,35.82,9240.71,EUR,INV,2024-09-05,CC_1010,PC_106,G/L_40085,VEND_10079,CUST_50012,2024,9,DOC_04724127
COMP_D,PLANT_5,MAT_00052,510.7,9852.07,EUR,INV,2024-07-29,CC_1009,PC_105,G/L_40000,VEND_10073,CUST_50008,2024,7,DOC_60529231
COMP_A,PLANT_2,MAT_00083,216.79,4224.62,EUR,GR,2025-01-29,CC_1013,PC_108,G/L_40039,VEND_10048,,2025,1,DOC_20471359
COMP_B,PLANT_5,MAT_00044,345.33,3925.65,EUR,GR,2024-03-27,CC_1018,PC_106,G/L_40050,VEND_10006,,2024,3,DOC_49911094
COMP_A,PLANT_1,MAT_00067,27.48,3451.68,EUR,PO,2023-12-31,CC_1019,PC_108,G/L_40025,VEND_10008,,2023,12,DOC_46453296
COMP_B,PLANT_1,MAT_00075,644.22,4942.53,EUR,GI,2023-10-27,CC_1008,PC_105,G/L_40005,,CUST_50058,2023,10,DOC_06814755
COMP_B,PLANT_2,MAT_00003,84.47,4949.7,EUR,GI,2024-07-13,CC_1008,PC_106,G/L_40071,,CUST_50058,2024,7,DOC_83054479
COMP_C,PLANT_1,MAT_00067,817.38,2585.32,EUR,GI,2025-02-24,CC_1009,PC_109,G/L_40037,,CUST_50078,2025,2,DOC_66642431
COMP_C,PLANT_5,MAT_00068,236.53,5626.48,EUR,PO,2023-11-18,CC_1012,PC_104,G/L_40006,VEND_10012,,2023,11,DOC_66198598
COMP_A,PLANT_5,MAT_00045,486.41,4978.63,EUR,INV,2024-10-30,CC_1017,PC_108,G/L_40010,VEND_10080,CUST_50071,2024,10,DOC_25082056
COMP_B,PLANT_1,MAT_00075,548.43,9160.82,EUR,GI,2024-05-20,CC_1010,PC_109,G/L_40056,,CUST_50022,2024,5,DOC_27967536
COMP_B,PLANT_2,MAT_00032,162.17,6319.23,EUR,PO,2024-10-21,CC_1012,PC_106,G/L_40006,VEND_10024,,2024,10,DOC_49175684
COMP_D,PLANT_4,MAT_00100,210.65,2388.31,EUR,INV,2025-01-14,CC_1012,PC_110,G/L_40062,VEND_10029,CUST_50062,2025,1,DOC_29765784
COMP_C,PLANT_1,MAT_00071,706.91,2145.62,EUR,GR,2024-03-28,CC_1005,PC_110,G/L_40052,VEND_10085,,2024,3,DOC_07743921
COMP_A,PLANT_4,MAT_00092,974.14,9038.64,EUR,PO,2025-05-20,CC_1001,PC_103,G/L_40060,VEND_10059,,2025,5,DOC_85071406
COMP_B,PLANT_2,MAT_00038,900.99,4950.03,EUR,PO,2024-01-26,CC_1019,PC_108,G/L_40021,VEND_10007,,2024,1,DOC_58676399
COMP_D,PLANT_4,MAT_00076,215.47,3265.62,EUR,GI,2024-04-30,CC_1019,PC_110,G/L_40009,,CUST_50083,2024,4,DOC_50995083
COMP_B,PLANT_2,MAT_00032,149.62,1878.47,EUR,SO,2023-08-25,CC_1007,PC_104,G/L_40055,,CUST_50100,2023,8,DOC_19739987
COMP_A,PLANT_4,MAT_00091,938.35,3785.21,EUR,PO,2025-05-18,CC_1019,PC_110,G/L_40044,VEND_10100,,2025,5,DOC_81618453
COMP_C,PLANT_1,MAT_00052,562.99,9027.97,EUR,PO,2025-05-18,CC_1013,PC_108,G/L_40036,VEND_10021,,2025,5,DOC_11887033
COMP_C,PLANT_3,MAT_00044,390.55,7061.25,EUR,SO,2024-09-16,CC_1016,PC_102,G/L_40016,,CUST_50020,2024,9,DOC_58329803
COMP_B,PLANT_4,MAT_00014,642.75,9757.98,EUR,GR,2024-05-29,CC_1005,PC_107,G/L_40058,VEND_10001,,2024,5,DOC_50155304
COMP_A,PLANT_5,MAT_00064,804.26,6974.52,EUR,PO,2024-01-12,CC_1006,PC_108,G/L_40055,VEND_10016,,2024,1,DOC_04118812
COMP_B,PLANT_4,MAT_00025,873.95,4467.7,EUR,GI,2024-05-31,CC_1001,PC_103,G/L_40002,,CUST_50092,2024,5,DOC_37438794
COMP_B,PLANT_1,MAT_00084,800.45,6736.45,EUR,PO,2023-11-22,CC_1008,PC_104,G/L_40073,VEND_10085,,2023,11,DOC_93287594
COMP_D,PLANT_4,MAT_00049,697.37,5495.73,EUR,GR,2024-05-03,CC_1006,PC_107,G/L_40053,VEND_10064,,2024,5,DOC_53362282
COMP_C,PLANT_1,MAT_00006,354.34,5184.39,EUR,GI,2025-04-17,CC_1011,PC_102,G/L_40004,,CUST_50034,2025,4,DOC_15700144
COMP_D,PLANT_1,MAT_00012,39.7,1947.89,EUR,GI,2024-11-23,CC_1016,PC_101,G/L_40060,,CUST_50085,2024,11,DOC_40202501
COMP_D,PLANT_2,MAT_00084,927.51,7119.62,EUR,SO,2023-11-25,CC_1018,PC_108,G/L_40092,,CUST_50098,2023,11,DOC_08735622
COMP_B,PLANT_3,MAT_00072,806.32,8955.04,EUR,GI,2024-07-12,CC_1013,PC_103,G/L_40067,,CUST_50017,2024,7,DOC_05552962
COMP_D,PLANT_4,MAT_00061,624.93,777.29,EUR,PO,2024-04-06,CC_1010,PC_109,G/L_40057,VEND_10017,,2024,4,DOC_66446409
COMP_C,PLANT_3,MAT_00051,459.6,7925.95,EUR,SO,2024-07-23,CC_1011,PC_106,G/L_40092,,CUST_50097,2024,7,DOC_06828908
COMP_B,PLANT_4,MAT_00089,297.42,8081.05,EUR,GR,2023-11-30,CC_1006,PC_103,G/L_40050,VEND_10004,,2023,11,DOC_18761849
COMP_C,PLANT_3,MAT_00085,114.45,1073.77,EUR,GI,2024-03-09,CC_1010,PC_104,G/L_40092,,CUST_50017,2024,3,DOC_74702933
COMP_A,PLANT_5,MAT_00083,797.49,810.15,EUR,PO,2023-07-23,CC_1017,PC_105,G/L_40019,VEND_10086,,2023,7,DOC_64742632
COMP_B,PLANT_4,MAT_00069,526.83,3802.75,EUR,SO,2024-05-01,CC_1013,PC_105,G/L_40045,,CUST_50010,2024,5,DOC_28823515
COMP_D,PLANT_2,MAT_00033,930.22,7111.11,EUR,GI,2024-10-31,CC_1003,PC_108,G/L_40093,,CUST_50098,2024,10,DOC_11236780
COMP_C,PLANT_5,MAT_00080,832.97,8537.07,EUR,INV,2025-02-28,CC_1001,PC_108,G/L_40059,VEND_10020,CUST_50099,2025,2,DOC_35609751
COMP_C,PLANT_1,MAT_00021,831.81,1425.85,EUR,PO,2023-09-16,CC_1017,PC_108,G/L_40032,VEND_10055,,2023,9,DOC_72409310
COMP_B,PLANT_2,MAT_00061,468.92,7363.9,EUR,GI,2024-10-27,CC_1010,PC_102,G/L_40024,,CUST_50052,2024,10,DOC_03302766
COMP_D,PLANT_5,MAT_00060,886.06,6558.25,EUR,INV,2024-10-24,CC_1011,PC_101,G/L_40033,VEND_10072,CUST_50007,2024,10,DOC_19050377
COMP_A,PLANT_2,MAT_00030,594.96,7383.77,EUR,GI,2025-03-01,CC_1017,PC_106,G/L_40082,,CUST_50090,2025,3,DOC_99109663
COMP_D,PLANT_5,MAT_00079,661.0,3301.43,EUR,INV,2024-07-21,CC_1001,PC_108,G/L_40058,VEND_10082,CUST_50011,2024,7,DOC_71176562
COMP_A,PLANT_3,MAT_00007,914.26,928.27,EUR,GI,2024-08-07,CC_1005,PC_110,G/L_40009,,CUST_50100,2024,8,DOC_44777371
COMP_D,PLANT_4,MAT_00024,407.37,2328.7,EUR,PO,2024-05-23,CC_1013,PC_104,G/L_40081,VEND_10057,,2024,5,DOC_09960344
COMP_A,PLANT_3,MAT_00075,523.25,1818.07,EUR,GR,2024-01-27,CC_1008,PC_108,G/L_40004,VEND_10003,,2024,1,DOC_54725995
COMP_C,PLANT_3,MAT_00080,65.12,3615.06,EUR,INV,2024-12-29,CC_1017,PC_104,G/L_40048,VEND_10077,CUST_50011,2024,12,DOC_56404540
COMP_A,PLANT_5,MAT_00074,722.97,3384.57,EUR,GR,2025-04-22,CC_1015,PC_102,G/L_40012,VEND_10069,,2025,4,DOC_22198298
COMP_B,PLANT_2,MAT_00060,434.74,4451.76,EUR,GR,2023-09-29,CC_1016,PC_104,G/L_40090,VEND_10058,,2023,9,DOC_33115706
COMP_D,PLANT_1,MAT_00091,888.45,6173.25,EUR,PO,2025-05-04,CC_1011,PC_108,G/L_40014,VEND_10009,,2025,5,DOC_82646133
COMP_D,PLANT_3,MAT_00081,705.86,6320.29,EUR,INV,2024-12-01,CC_1016,PC_103,G/L_40094,VEND_10007,CUST_50049,2024,12,DOC_88502741
COMP_B,PLANT_4,MAT_00071,75.97,4235.03,EUR,SO,2024-02-14,CC_1002,PC_102,G/L_40056,,CUST_50086,2024,2,DOC_57662581
COMP_C,PLANT_5,MAT_00096,765.16,9422.46,EUR,GR,2025-06-18,CC_1017,PC_107,G/L_40078,VEND_10032,,2025,6,DOC_04124501
COMP_D,PLANT_4,MAT_00091,100.84,5684.58,EUR,PO,2025-05-22,CC_1017,PC_108,G/L_40021,VEND_10049,,2025,5,DOC_48555419
COMP_B,PLANT_3,MAT_00069,649.76,630.3,EUR,INV,2023-11-03,CC_1005,PC_106,G/L_40029,VEND_10006,CUST_50098,2023,11,DOC_84500201
COMP_B,PLANT_1,MAT_00027,598.11,4341.0,EUR,GI,2025-04-17,CC_1012,PC_104,G/L_40044,,CUST_50061,2025,4,DOC_09514416
COMP_C,PLANT_3,MAT_00074,544.39,656.94,EUR,GR,2023-10-04,CC_1005,PC_103,G/L_40006,VEND_10006,,2023,10,DOC_41542075
COMP_C,PLANT_2,MAT_00069,598.88,3161.84,EUR,GI,2024-11-23,CC_1002,PC_105,G/L_40060,,CUST_50079,2024,11,DOC_57973557
COMP_B,PLANT_1,MAT_00044,616.73,8848.32,EUR,PO,2023-07-10,CC_1019,PC_102,G/L_40090,VEND_10052,,2023,7,DOC_83032416
COMP_B,PLANT_3,MAT_00038,474.29,2016.39,EUR,PO,2023-08-02,CC_1020,PC_102,G/L_40079,VEND_10066,,2023,8,DOC_08035924
COMP_D,PLANT_1,MAT_00030,269.66,3632.2,EUR,GI,2023-07-06,CC_1015,PC_104,G/L_40005,,CUST_50073,2023,7,DOC_64022779
COMP_C,PLANT_3,MAT_00041,151.0,8548.09,EUR,PO,2024-01-19,CC_1012,PC_105,G/L_40002,VEND_10089,,2024,1,DOC_40095152
COMP_C,PLANT_4,MAT_00053,148.59,2869.82,EUR,GR,2024-01-28,CC_1009,PC_105,G/L_40054,VEND_10075,,2024,1,DOC_91737462
COMP_B,PLANT_2,MAT_00040,539.84,3093.52,EUR,GI,2024-09-02,CC_1017,PC_107,G/L_40066,,CUST_50091,2024,9,DOC_06644488
COMP_C,PLANT_1,MAT_00092,8.47,9173.0,EUR,GI,2024-12-10,CC_1020,PC_102,G/L_40006,,CUST_50039,2024,12,DOC_77351961
COMP_A,PLANT_4,MAT_00020,633.43,1475.66,EUR,SO,2024-03-25,CC_1015,PC_110,G/L_40034,,CUST_50061,2024,3,DOC_14786994
COMP_B,PLANT_3,MAT_00097,366.63,1876.84,EUR,GR,2023-07-19,CC_1007,PC_110,G/L_40093,VEND_10075,,2023,7,DOC_54897549
COMP_C,PLANT_2,MAT_00044,582.83,746.21,EUR,GI,2023-12-29,CC_1002,PC_103,G/L_40013,,CUST_50095,2023,12,DOC_55498708
COMP_B,PLANT_1,MAT_00070,650.03,4792.98,EUR,GI,2024-12-17,CC_1018,PC_107,G/L_40031,,CUST_50043,2024,12,DOC_36670410
COMP_D,PLANT_5,MAT_00087,888.69,6029.87,EUR,INV,2024-07-17,CC_1015,PC_101,G/L_40078,VEND_10026,CUST_50063,2024,7,DOC_15298221
COMP_B,PLANT_4,MAT_00074,930.76,3738.58,EUR,SO,2023-10-02,CC_1010,PC_103,G/L_40053,,CUST_50023,2023,10,DOC_83681404
COMP_C,PLANT_3,MAT_00088,63.0,3719.4,EUR,PO,2024-10-21,CC_1020,PC_102,G/L_40000,VEND_10095,,2024,10,DOC_79991471
COMP_B,PLANT_4,MAT_00063,621.3,6081.82,EUR,PO,2024-02-26,CC_1020,PC_103,G/L_40088,VEND_10043,,2024,2,DOC_61290303
COMP_B,PLANT_3,MAT_00064,553.07,6141.37,EUR,GI,2024-01-02,CC_1001,PC_110,G/L_40031,,CUST_50092,2024,1,DOC_33959989
COMP_D,PLANT_2,MAT_00009,694.04,3687.05,EUR,PO,2023-12-07,CC_1016,PC_103,G/L_40003,VEND_10010,,2023,12,DOC_28224442
COMP_C,PLANT_1,MAT_00017,478.88,3349.86,EUR,INV,2024-01-30,CC_1007,PC_108,G/L_40078,VEND_10062,CUST_50087,2024,1,DOC_18949843
COMP_A,PLANT_4,MAT_00010,514.29,421.35,EUR,GI,2025-02-28,CC_1012,PC_102,G/L_40027,,CUST_50093,2025,2,DOC_58656280
COMP_D,PLANT_4,MAT_00062,923.59,4274.86,EUR,PO,2024-09-05,CC_1011,PC_106,G/L_40085,VEND_10089,,2024,9,DOC_03237299
COMP_B,PLANT_1,MAT_00029,521.89,3885.71,EUR,SO,2023-09-07,CC_1013,PC_108,G/L_40025,,CUST_50018,2023,9,DOC_97269210
COMP_C,PLANT_3,MAT_00058,172.34,4741.32,EUR,GI,2023-11-02,CC_1012,PC_105,G/L_40039,,CUST_50097,2023,11,DOC_11593642
COMP_D,PLANT_1,MAT_00020,101.73,4191.56,EUR,INV,2024-03-28,CC_1020,PC_106,G/L_40056,VEND_10024,CUST_50036,2024,3,DOC_76989781
COMP_C,PLANT_3,MAT_00069,369.49,2873.55,EUR,PO,2024-03-24,CC_1001,PC_105,G/L_40072,VEND_10011,,2024,3,DOC_50299590
COMP_D,PLANT_3,MAT_00092,864.16,9008.34,EUR,PO,2024-03-26,CC_1015,PC_105,G/L_40038,VEND_10085,,2024,3,DOC_93503756
COMP_D,PLANT_3,MAT_00007,125.71,9475.86,EUR,PO,2024-07-26,CC_1008,PC_107,G/L_40071,VEND_10035,,2024,7,DOC_08945204
COMP_B,PLANT_2,MAT_00045,481.82,353.13,EUR,GR,2023-11-16,CC_1013,PC_103,G/L_40026,VEND_10014,,2023,11,DOC_47744893
COMP_D,PLANT_4,MAT_00011,22.91,1297.3,EUR,PO,2023-12-26,CC_1006,PC_103,G/L_40099,VEND_10088,,2023,12,DOC_20764651
COMP_C,PLANT_2,MAT_00072,712.7,2819.76,EUR,GR,2025-02-20,CC_1005,PC_110,G/L_40019,VEND_10089,,2025,2,DOC_80512078
COMP_A,PLANT_4,MAT_00098,855.89,4660.85,EUR,SO,2025-05-18,CC_1018,PC_103,G/L_40047,,CUST_50006,2025,5,DOC_34769326
COMP_B,PLANT_2,MAT_00001,305.2,434.13,EUR,PO,2023-11-28,CC_1001,PC_110,G/L_40015,VEND_10026,,2023,11,DOC_81645975
COMP_C,PLANT_3,MAT_00033,661.59,9371.39,EUR,PO,2024-09-07,CC_1013,PC_106,G/L_40002,VEND_10074,,2024,9,DOC_92354466
COMP_D,PLANT_2,MAT_00097,286.14,8261.21,EUR,SO,2023-09-19,CC_1005,PC_104,G/L_40070,,CUST_50090,2023,9,DOC_42052488
COMP_D,PLANT_1,MAT_00062,828.31,2446.91,EUR,GR,2024-05-13,CC_1005,PC_107,G/L_40064,VEND_10077,,2024,5,DOC_48312669
COMP_B,PLANT_2,MAT_00018,95.93,7036.96,EUR,GI,2025-01-19,CC_1009,PC_103,G/L_40013,,CUST_50064,2025,1,DOC_44632297
COMP_D,PLANT_3,MAT_00064,818.97,9304.1,EUR,SO,2024-10-10,CC_1014,PC_102,G/L_40013,,CUST_50069,2024,10,DOC_06727981
COMP_A,PLANT_5,MAT_00051,180.17,1537.98,EUR,GR,2024-02-28,CC_1013,PC_107,G/L_40039,VEND_10079,,2024,2,DOC_03949599
COMP_C,PLANT_2,MAT_00065,413.74,7617.46,EUR,INV,2025-04-19,CC_1002,PC_110,G/L_40087,VEND_10067,CUST_50040,2025,4,DOC_05510687
COMP_B,PLANT_1,MAT_00061,357.31,5669.21,EUR,GI,2024-05-16,CC_1020,PC_110,G/L_40035,,CUST_50015,2024,5,DOC_52029789
COMP_B,PLANT_5,MAT_00017,865.19,7980.29,EUR,PO,2024-12-13,CC_1011,PC_101,G/L_40010,VEND_10042,,2024,12,DOC_35181995
COMP_A,PLANT_2,MAT_00079,159.26,2214.72,EUR,INV,2024-12-12,CC_1001,PC_102,G/L_40082,VEND_10091,CUST_50076,2024,12,DOC_12612273
COMP_A,PLANT_3,MAT_00044,980.27,7682.72,EUR,GI,2024-11-02,CC_1011,PC_102,G/L_40071,,CUST_50071,2024,11,DOC_56278879
COMP_A,PLANT_4,MAT_00033,903.52,1831.82,EUR,GR,2024-11-23,CC_1010,PC_106,G/L_40093,VEND_10065,,2024,11,DOC_25651526
COMP_D,PLANT_2,MAT_00035,693.57,1673.14,EUR,SO,2023-12-31,CC_1001,PC_103,G/L_40085,,CUST_50084,2023,12,DOC_35223622
COMP_C,PLANT_4,MAT_00025,395.09,5557.96,EUR,INV,2024-06-27,CC_1001,PC_110,G/L_40061,VEND_10068,CUST_50088,2024,6,DOC_81710907
COMP_C,PLANT_4,MAT_00072,34.26,5747.03,EUR,PO,2024-07-31,CC_1019,PC_109,G/L_40025,VEND_10025,,2024,7,DOC_09342653
COMP_C,PLANT_2,MAT_00036,11.68,3748.32,EUR,GI,2023-09-23,CC_1018,PC_101,G/L_40021,,CUST_50016,2023,9,DOC_71796814
COMP_C,PLANT_3,MAT_00011,793.01,8198.29,EUR,SO,2025-02-02,CC_1013,PC_109,G/L_40095,,CUST_50100,2025,2,DOC_96424381
COMP_D,PLANT_2,MAT_00096,951.76,83.67,EUR,PO,2024-07-29,CC_1018,PC_109,G/L_40079,VEND_10045,,2024,7,DOC_98346776
COMP_D,PLANT_3,MAT_00010,226.68,6889.98,EUR,GR,2025-04-19,CC_1006,PC_103,G/L_40043,VEND_10093,,2025,4,DOC_86319151
COMP_A,PLANT_4,MAT_00026,713.7,6501.06,EUR,GR,2023-08-05,CC_1017,PC_110,G/L_40068,VEND_10020,,2023,8,DOC_59368785
COMP_A,PLANT_1,MAT_00059,918.57,3559.36,EUR,GI,2024-10-06,CC_1009,PC_105,G/L_40078,,CUST_50079,2024,10,DOC_80822426
COMP_A,PLANT_5,MAT_00007,920.2,1757.67,EUR,INV,2024-03-29,CC_1018,PC_101,G/L_40069,VEND_10075,CUST_50027,2024,3,DOC_42282963
COMP_C,PLANT_3,MAT_00007,977.98,9800.78,EUR,GR,2025-01-31,CC_1009,PC_109,G/L_40021,VEND_10059,,2025,1,DOC_56383413
COMP_A,PLANT_5,MAT_00052,609.96,6369.37,EUR,GR,2024-08-20,CC_1017,PC_104,G/L_40095,VEND_10026,,2024,8,DOC_38510130
COMP_B,PLANT_5,MAT_00026,897.39,5110.99,EUR,PO,2024-10-05,CC_1006,PC_105,G/L_40005,VEND_10082,,2024,10,DOC_60130257
COMP_C,PLANT_2,MAT_00063,655.95,669.53,EUR,INV,2024-08-14,CC_1016,PC_105,G/L_40008,VEND_10013,CUST_50038,2024,8,DOC_00165614
COMP_A,PLANT_4,MAT_00078,212.38,86.23,EUR,INV,2024-08-23,CC_1012,PC_103,G/L_40008,VEND_10085,CUST_50002,2024,8,DOC_59746420
COMP_C,PLANT_4,MAT_00052,656.49,21.94,EUR,INV,2024-01-30,CC_1015,PC_109,G/L_40056,VEND_10047,CUST_50056,2024,1,DOC_57911443
COMP_D,PLANT_1,MAT_00040,387.65,8273.43,EUR,PO,2023-09-17,CC_1003,PC_103,G/L_40035,VEND_10099,,2023,9,DOC_92267555
COMP_C,PLANT_2,MAT_00089,351.01,2441.99,EUR,PO,2023-08-03,CC_1013,PC_105,G/L_40088,VEND_10019,,2023,8,DOC_62267004
COMP_B,PLANT_5,MAT_00028,745.38,227.29,EUR,GR,2024-01-21,CC_1012,PC_108,G/L_40002,VEND_10078,,2024,1,DOC_74883730
COMP_D,PLANT_4,MAT_00085,731.33,6019.09,EUR,GI,2025-05-25,CC_1015,PC_107,G/L_40082,,CUST_50015,2025,5,DOC_78465599
COMP_A,PLANT_5,MAT_00018,379.81,3966.58,EUR,SO,2025-03-07,CC_1002,PC_105,G/L_40079,,CUST_50074,2025,3,DOC_26458165
COMP_A,PLANT_4,MAT_00037,499.72,9587.42,EUR,INV,2025-02-14,CC_1011,PC_110,G/L_40072,VEND_10097,CUST_50073,2025,2,DOC_01266009
COMP_D,PLANT_5,MAT_00005,530.87,3232.61,EUR,PO,2025-03-04,CC_1017,PC_107,G/L_40087,VEND_10085,,2025,3,DOC_81902429
COMP_C,PLANT_4,MAT_00060,667.77,6273.56,EUR,GI,2023-08-06,CC_1014,PC_109,G/L_40030,,CUST_50081,2023,8,DOC_93932172
COMP_D,PLANT_4,MAT_00041,626.74,4439.47,EUR,INV,2023-09-14,CC_1013,PC_103,G/L_40073,VEND_10054,CUST_50068,2023,9,DOC_15711033
COMP_B,PLANT_4,MAT_00060,943.15,9773.93,EUR,GR,2023-09-01,CC_1020,PC_109,G/L_40025,VEND_10036,,2023,9,DOC_78176792
COMP_A,PLANT_5,MAT_00023,2.51,725.29,EUR,GI,2024-03-07,CC_1013,PC_108,G/L_40067,,CUST_50019,2024,3,DOC_39325626
